,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.825,0.716,1.939,0.515,1.939,0.512,1.955,0.516,1.286,0.548,1.13,0.56,0.966,0.54,1.364,0.557
1,1,0.792,0.754,2.261,0.518,2.202,0.525,2.226,0.528,1.414,0.556,1.626,0.602,1.033,0.526,1.663,0.577
2,2,0.812,0.806,2.705,0.509,2.63,0.515,2.672,0.519,2.013,0.558,1.753,0.631,1.218,0.521,2.185,0.585
3,3,0.688,0.862,2.767,0.533,2.62,0.549,2.762,0.521,2.132,0.611,1.815,0.647,1.239,0.527,2.224,0.62
4,4,0.737,0.88,2.897,0.52,2.884,0.512,2.784,0.523,2.456,0.593,2.397,0.576,1.553,0.518,2.51,0.603
5,5,0.9,0.825,2.731,0.498,2.828,0.485,2.808,0.483,2.291,0.598,1.96,0.579,1.937,0.513,2.279,0.589
6,6,0.938,0.821,2.771,0.441,2.794,0.427,2.739,0.443,2.095,0.564,2.648,0.484,2.795,0.353,2.364,0.525
7,7,0.907,0.81,2.328,0.465,2.329,0.466,2.27,0.472,2.09,0.501,2.059,0.466,2.888,0.311,1.688,0.536
8,8,1.293,0.63,2.336,0.41,2.441,0.403,2.381,0.411,2.222,0.427,1.766,0.421,4.184,0.227,1.636,0.463
9,9,2.488,0.448,3.098,0.336,3.178,0.337,3.063,0.349,2.972,0.286,2.265,0.345,3.986,0.214,2.374,0.363
10,10,4.183,0.249,4.412,0.231,4.549,0.219,4.329,0.256,4.546,0.217,4.125,0.233,4.452,0.202,4.337,0.232
11,11,6.222,0.219,6.222,0.218,6.33,0.201,6.078,0.235,6.33,0.201,6.33,0.201,6.33,0.201,6.33,0.201
