,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.954,0.671,2.108,0.503,2.137,0.504,2.158,0.494,1.191,0.505,1.203,0.483,0.915,0.529,1.683,0.451
1,1,0.582,0.841,2.303,0.544,2.242,0.539,2.321,0.528,1.69,0.516,1.636,0.582,0.964,0.525,1.77,0.524
2,2,0.167,0.965,1.576,0.741,1.544,0.742,1.634,0.72,2.58,0.551,1.291,0.759,1.176,0.515,1.785,0.7
3,3,0.138,0.978,1.416,0.766,1.419,0.757,1.445,0.758,1.857,0.623,3.565,0.493,1.372,0.505,3.06,0.533
4,4,0.224,0.962,1.786,0.708,1.792,0.706,1.778,0.715,2.634,0.594,3.301,0.532,1.67,0.496,2.602,0.611
5,5,0.869,0.832,2.761,0.531,2.733,0.528,2.729,0.547,2.594,0.587,2.735,0.519,2.048,0.48,2.835,0.557
6,6,1.045,0.747,2.897,0.446,2.931,0.439,2.998,0.432,3.18,0.46,2.666,0.502,3.216,0.274,3.014,0.46
7,7,0.88,0.71,2.278,0.44,2.177,0.458,2.305,0.449,2.76,0.452,2.393,0.455,3.69,0.166,1.764,0.482
8,8,1.327,0.61,2.489,0.416,2.472,0.411,2.559,0.402,2.675,0.418,2.052,0.486,5.012,0.103,1.742,0.485
9,9,2.664,0.505,3.425,0.31,3.376,0.297,3.535,0.31,3.705,0.319,2.656,0.389,5.145,0.09,3.021,0.403
10,10,4.87,0.122,5.253,0.118,5.326,0.098,5.318,0.113,5.388,0.096,4.542,0.113,5.986,0.088,4.883,0.112
11,11,7.461,0.1,7.461,0.105,7.58,0.086,7.522,0.097,7.58,0.086,7.58,0.086,7.58,0.086,7.58,0.086
