,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.858,0.693,2.11,0.492,2.1,0.49,2.102,0.499,1.335,0.477,1.259,0.486,0.97,0.542,1.78,0.464
1,1,0.807,0.748,2.403,0.499,2.347,0.507,2.406,0.483,1.458,0.499,1.974,0.518,0.98,0.531,1.98,0.458
2,2,0.882,0.777,2.973,0.497,3.02,0.484,2.939,0.489,1.975,0.523,1.893,0.626,1.185,0.517,1.892,0.584
3,3,0.76,0.832,2.988,0.497,2.985,0.501,3.022,0.488,2.197,0.552,2.732,0.559,1.494,0.494,2.877,0.533
4,4,0.921,0.806,3.251,0.489,3.223,0.492,3.25,0.478,2.977,0.527,3.371,0.515,1.597,0.491,2.816,0.566
5,5,1.378,0.745,3.272,0.454,3.192,0.454,3.276,0.454,3.411,0.495,2.54,0.508,2.118,0.468,3.244,0.478
6,6,1.135,0.754,2.806,0.453,2.683,0.454,2.852,0.432,3.374,0.478,2.414,0.463,3.512,0.251,2.817,0.478
7,7,1.08,0.677,2.314,0.453,2.257,0.45,2.359,0.44,2.651,0.463,2.397,0.472,4.028,0.149,1.991,0.462
8,8,1.587,0.607,2.696,0.409,2.566,0.419,2.715,0.412,2.668,0.471,1.937,0.456,4.976,0.098,2.019,0.469
9,9,2.752,0.477,3.415,0.308,3.384,0.294,3.507,0.294,3.441,0.334,2.44,0.403,5.185,0.091,2.869,0.399
10,10,4.905,0.123,5.268,0.121,5.369,0.095,5.386,0.111,5.388,0.099,4.387,0.103,5.999,0.09,4.867,0.111
11,11,7.461,0.1,7.461,0.105,7.58,0.086,7.522,0.097,7.58,0.086,7.58,0.086,7.58,0.086,7.58,0.086
