,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.546,0.54725,0.472,0.46825,0.47575
1,1,0.485,0.577,0.473625,0.472,0.47525
2,2,0.542,0.66275,0.444625,0.44275,0.4465
3,3,0.689,0.779375,0.46125,0.46025,0.46225
4,4,0.74925,0.832875,0.464375,0.46225,0.4665
5,5,0.745125,0.883875,0.479,0.481,0.477
6,6,0.689,0.89175,0.474625,0.47575,0.4735
7,7,0.764,0.875375,0.475625,0.4785,0.47275
8,8,0.7755,0.894875,0.478625,0.479,0.47825
9,9,0.7595,0.897875,0.476,0.47525,0.47675
10,10,0.749875,0.898625,0.4725,0.4725,0.4725
11,11,0.721875,0.88525,0.46975,0.46975,0.46975
