,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.546,0.54725,0.477125,0.477,0.47725
1,1,0.485,0.577,0.47975,0.48125,0.47825
2,2,0.542,0.66275,0.50675,0.51,0.5035
3,3,0.689,0.779375,0.495875,0.4985,0.49325
4,4,0.74925,0.832875,0.48925,0.4955,0.483
5,5,0.745125,0.883875,0.46375,0.4625,0.465
6,6,0.689,0.89175,0.47075,0.46925,0.47225
7,7,0.764,0.875375,0.469125,0.469,0.46925
8,8,0.7755,0.894875,0.464375,0.46375,0.465
9,9,0.7595,0.897875,0.466125,0.465,0.46725
10,10,0.749875,0.898625,0.469375,0.46775,0.471
11,11,0.721875,0.88525,0.46975,0.46975,0.46975
