,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.398,0.834,1.643,0.475,1.546,0.501,1.587,0.5,2.123,0.501,1.889,0.518,0.966,0.496,2.65,0.505
1,1,0.19,0.932,1.978,0.507,1.954,0.525,1.879,0.534,3.605,0.502,1.61,0.564,0.896,0.567,3.228,0.524
2,2,0.147,0.953,1.664,0.562,1.653,0.556,1.566,0.576,3.777,0.518,1.526,0.624,0.931,0.537,2.423,0.565
3,3,0.364,0.857,1.461,0.561,1.473,0.559,1.392,0.569,1.907,0.504,1.676,0.535,0.971,0.542,2.155,0.481
4,4,1.578,0.524,2.034,0.44,2.149,0.423,2.069,0.44,1.701,0.438,1.821,0.372,1.122,0.439,1.913,0.385
5,5,1.835,0.48,2.13,0.423,2.23,0.419,2.176,0.426,1.985,0.365,1.798,0.39,1.374,0.378,2.036,0.36
6,6,1.932,0.467,2.17,0.425,2.262,0.433,2.203,0.431,2.032,0.36,1.92,0.361,1.39,0.433,2.063,0.371
7,7,1.989,0.469,2.177,0.429,2.257,0.431,2.217,0.436,2.065,0.376,2.26,0.387,1.648,0.379,2.116,0.371
8,8,2.193,0.474,2.242,0.456,2.355,0.45,2.243,0.457,2.394,0.413,1.824,0.42,3.123,0.478,2.414,0.402
9,9,2.447,0.459,2.466,0.439,2.57,0.44,2.456,0.446,2.469,0.417,1.903,0.407,3.159,0.464,2.554,0.423
10,10,2.82,0.433,2.873,0.421,2.947,0.426,2.878,0.415,2.856,0.399,3.004,0.427,2.258,0.361,2.808,0.4
11,11,3.685,0.44,3.658,0.432,3.695,0.438,3.66,0.436,3.695,0.438,3.695,0.438,3.695,0.438,3.695,0.438
