,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.501,0.801,1.529,0.483,1.613,0.481,1.65,0.464,2.169,0.498,1.127,0.544,0.884,0.498,2.456,0.49
1,1,0.265,0.905,2.054,0.482,2.119,0.479,2.181,0.471,3.765,0.5,1.763,0.58,0.7,0.621,3.093,0.516
2,2,0.225,0.914,1.778,0.511,1.904,0.503,1.908,0.508,3.792,0.513,1.75,0.595,0.879,0.575,2.258,0.56
3,3,0.513,0.803,1.68,0.498,1.777,0.496,1.738,0.494,1.839,0.523,1.248,0.624,1.215,0.522,2.108,0.485
4,4,1.607,0.502,2.102,0.418,2.206,0.406,2.178,0.4,1.585,0.409,1.729,0.446,1.111,0.467,1.785,0.392
5,5,1.872,0.47,2.186,0.432,2.291,0.418,2.232,0.421,2.088,0.34,2.037,0.369,1.501,0.351,2.055,0.38
6,6,1.889,0.471,2.128,0.435,2.249,0.43,2.198,0.427,2.134,0.358,1.974,0.362,1.53,0.398,2.058,0.355
7,7,1.984,0.469,2.165,0.433,2.287,0.428,2.209,0.433,2.127,0.365,2.301,0.387,1.589,0.35,2.132,0.349
8,8,2.237,0.469,2.268,0.455,2.405,0.441,2.262,0.457,2.382,0.421,1.866,0.433,3.276,0.472,2.505,0.409
9,9,2.453,0.436,2.53,0.425,2.61,0.424,2.557,0.422,2.577,0.381,2.752,0.425,2.073,0.33,2.489,0.378
10,10,2.807,0.434,2.855,0.423,2.922,0.429,2.873,0.427,2.721,0.394,3.083,0.426,2.43,0.372,2.858,0.401
11,11,3.685,0.44,3.658,0.432,3.695,0.438,3.66,0.436,3.695,0.438,3.695,0.438,3.695,0.438,3.695,0.438
