,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.059,0.982,0.638,0.807,0.619,0.81,0.726,0.789,2.3,0.502,1.004,0.682,0.848,0.485,1.982,0.599
1,1,0.022,0.994,0.536,0.849,0.522,0.85,0.515,0.847,3.651,0.5,2.155,0.587,0.738,0.584,1.997,0.657
2,2,0.025,0.997,0.582,0.823,0.545,0.842,0.546,0.839,3.953,0.512,0.946,0.735,0.797,0.612,1.157,0.739
3,3,0.237,0.915,1.033,0.661,0.995,0.668,1.041,0.672,2.175,0.569,1.321,0.614,1.103,0.527,1.414,0.625
4,4,2.34,0.317,3.006,0.243,2.944,0.251,3.027,0.247,1.952,0.432,1.231,0.553,1.161,0.482,2.027,0.461
5,5,3.178,0.172,3.631,0.14,3.651,0.143,3.719,0.139,2.046,0.395,2.313,0.41,1.391,0.306,2.146,0.368
6,6,3.263,0.142,3.682,0.114,3.707,0.126,3.703,0.118,2.112,0.368,3.267,0.404,2.476,0.5,1.889,0.384
7,7,3.418,0.128,3.807,0.108,3.795,0.111,3.801,0.116,1.835,0.382,3.058,0.369,2.147,0.502,1.924,0.391
8,8,3.671,0.112,3.981,0.091,3.938,0.1,3.933,0.1,1.9,0.262,3.262,0.338,1.909,0.503,1.949,0.298
9,9,4.091,0.094,4.336,0.083,4.27,0.093,4.31,0.09,2.648,0.144,3.478,0.221,1.68,0.39,2.595,0.215
10,10,4.722,0.095,4.874,0.087,4.782,0.097,4.865,0.093,4.182,0.099,4.589,0.129,3.062,0.102,3.953,0.107
11,11,6.153,0.083,6.154,0.084,6.068,0.091,6.152,0.087,6.068,0.091,6.068,0.091,6.068,0.091,6.068,0.091
