,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.501,0.798,1.453,0.503,1.551,0.479,1.498,0.49,2.411,0.501,1.024,0.567,0.848,0.579,2.424,0.503
1,1,0.488,0.823,2.187,0.483,2.185,0.47,2.18,0.484,3.792,0.5,1.256,0.625,0.832,0.537,3.048,0.545
2,2,0.49,0.809,2.024,0.487,2.079,0.451,2.023,0.483,4.382,0.503,1.787,0.642,0.903,0.531,2.555,0.564
3,3,1.227,0.571,2.646,0.33,2.634,0.323,2.662,0.323,2.603,0.499,1.579,0.522,1.009,0.52,2.536,0.485
4,4,3.082,0.197,3.798,0.141,3.803,0.152,3.799,0.142,2.243,0.42,1.841,0.401,1.433,0.377,1.943,0.406
5,5,3.632,0.131,4.064,0.117,4.097,0.116,4.135,0.108,1.745,0.436,3.17,0.395,1.691,0.48,1.901,0.374
6,6,3.583,0.132,3.984,0.107,4.043,0.113,4.076,0.102,1.635,0.433,2.966,0.431,1.859,0.491,2.044,0.345
7,7,3.782,0.115,4.089,0.1,4.129,0.102,4.157,0.097,1.917,0.344,3.294,0.358,1.849,0.494,1.981,0.369
8,8,3.937,0.093,4.216,0.081,4.198,0.093,4.239,0.09,1.613,0.348,2.934,0.306,1.398,0.473,1.877,0.341
9,9,4.334,0.085,4.522,0.083,4.481,0.09,4.548,0.083,2.271,0.217,3.357,0.232,1.443,0.355,2.43,0.265
10,10,4.897,0.084,5.007,0.085,4.935,0.093,5.028,0.085,3.736,0.128,4.502,0.11,2.596,0.162,3.602,0.129
11,11,6.153,0.083,6.154,0.084,6.068,0.091,6.152,0.087,6.068,0.091,6.068,0.091,6.068,0.091,6.068,0.091
