,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.587,0.742,1.255,0.496,1.28,0.507,1.224,0.505,0.98,0.517,1.104,0.498,1.34,0.498,1.24,0.47
1,1,0.401,0.834,1.52,0.51,1.616,0.491,1.478,0.521,1.429,0.524,1.584,0.508,1.345,0.494,1.549,0.504
2,2,0.298,0.884,1.584,0.502,1.567,0.499,1.534,0.513,1.554,0.491,1.724,0.487,1.755,0.494,1.643,0.492
3,3,0.311,0.865,1.54,0.511,1.543,0.501,1.513,0.501,1.544,0.515,1.601,0.525,1.658,0.496,1.601,0.506
4,4,0.315,0.884,1.514,0.513,1.52,0.51,1.507,0.51,1.564,0.509,1.651,0.492,1.746,0.503,1.493,0.502
5,5,0.43,0.832,1.502,0.516,1.486,0.506,1.471,0.5,1.471,0.507,1.503,0.497,1.875,0.489,1.477,0.503
6,6,0.4,0.839,1.442,0.514,1.396,0.501,1.41,0.488,1.435,0.502,1.482,0.495,1.814,0.505,1.349,0.494
7,7,0.409,0.837,1.477,0.513,1.469,0.512,1.412,0.5,1.474,0.507,1.378,0.524,1.421,0.504,1.422,0.499
8,8,0.542,0.796,1.419,0.508,1.355,0.514,1.362,0.5,1.369,0.506,1.349,0.515,1.453,0.463,1.278,0.508
9,9,0.762,0.689,1.43,0.501,1.367,0.506,1.365,0.497,1.363,0.501,1.412,0.499,1.539,0.482,1.333,0.498
10,10,1.092,0.576,1.462,0.499,1.397,0.512,1.404,0.508,1.364,0.495,1.444,0.491,1.299,0.479,1.318,0.508
11,11,1.978,0.511,2.041,0.496,1.969,0.492,1.995,0.49,1.969,0.492,1.969,0.492,1.969,0.492,1.969,0.492
