,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.593,0.748,1.318,0.513,1.3,0.502,1.31,0.506,1.029,0.491,1.307,0.498,1.109,0.509,1.26,0.494
1,1,0.468,0.813,1.631,0.501,1.613,0.499,1.634,0.491,1.424,0.498,1.563,0.496,1.315,0.518,1.574,0.506
2,2,0.339,0.861,1.553,0.502,1.585,0.492,1.491,0.5,1.417,0.51,1.699,0.501,1.502,0.487,1.619,0.49
3,3,0.265,0.907,1.508,0.509,1.538,0.495,1.49,0.51,1.518,0.492,1.785,0.501,1.7,0.483,1.536,0.483
4,4,0.381,0.85,1.432,0.515,1.445,0.51,1.434,0.514,1.414,0.511,1.479,0.523,1.933,0.503,1.468,0.511
5,5,0.328,0.883,1.495,0.505,1.476,0.496,1.463,0.526,1.521,0.495,1.505,0.515,1.523,0.497,1.422,0.512
6,6,0.369,0.867,1.471,0.495,1.457,0.507,1.417,0.512,1.382,0.518,1.419,0.519,1.518,0.513,1.387,0.511
7,7,0.405,0.851,1.443,0.505,1.431,0.499,1.384,0.512,1.376,0.516,1.454,0.504,1.481,0.507,1.336,0.517
8,8,0.564,0.77,1.387,0.503,1.371,0.508,1.334,0.511,1.342,0.507,1.395,0.503,1.452,0.494,1.306,0.505
9,9,0.73,0.692,1.383,0.52,1.383,0.499,1.337,0.505,1.365,0.501,1.383,0.516,1.321,0.506,1.28,0.515
10,10,1.071,0.586,1.441,0.506,1.405,0.497,1.399,0.507,1.451,0.502,1.485,0.506,1.3,0.501,1.35,0.499
11,11,1.978,0.511,2.041,0.496,1.969,0.492,1.995,0.49,1.969,0.492,1.969,0.492,1.969,0.492,1.969,0.492
