,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.533,0.766,1.283,0.51,1.278,0.516,1.304,0.514,1.088,0.494,1.131,0.505,1.066,0.497,1.205,0.498
1,1,0.455,0.817,1.608,0.503,1.637,0.517,1.595,0.52,1.48,0.484,1.576,0.495,1.446,0.496,1.548,0.521
2,2,0.24,0.917,1.697,0.495,1.704,0.481,1.606,0.503,1.535,0.52,1.818,0.505,1.801,0.49,1.649,0.504
3,3,0.228,0.92,1.503,0.517,1.573,0.513,1.543,0.516,1.546,0.513,1.647,0.505,1.427,0.512,1.568,0.516
4,4,0.295,0.886,1.559,0.507,1.57,0.492,1.557,0.502,1.557,0.511,1.45,0.505,1.672,0.487,1.584,0.51
5,5,0.316,0.882,1.506,0.515,1.555,0.49,1.538,0.508,1.567,0.501,1.423,0.491,1.741,0.503,1.534,0.499
6,6,0.352,0.877,1.502,0.51,1.521,0.492,1.511,0.511,1.581,0.49,1.492,0.489,1.589,0.496,1.496,0.501
7,7,0.405,0.848,1.469,0.501,1.477,0.49,1.464,0.508,1.484,0.508,1.37,0.509,1.488,0.482,1.37,0.505
8,8,0.547,0.783,1.443,0.493,1.424,0.5,1.438,0.512,1.537,0.488,1.351,0.511,1.385,0.478,1.359,0.511
9,9,0.742,0.69,1.439,0.495,1.421,0.501,1.44,0.51,1.418,0.49,1.401,0.492,1.323,0.502,1.315,0.503
10,10,1.118,0.576,1.453,0.486,1.433,0.504,1.445,0.499,1.514,0.495,1.435,0.493,1.243,0.526,1.414,0.496
11,11,2.024,0.504,2.08,0.493,2.047,0.502,2.023,0.506,2.047,0.502,2.047,0.502,2.047,0.502,2.047,0.502
