,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.514125,0.575,0.58275,0.56875,0.59675
1,1,0.533,0.64525,0.541,0.493,0.589
2,2,0.5565,0.682375,0.452125,0.416,0.48825
3,3,0.6145,0.745625,0.253,0.25725,0.24875
4,4,0.73625,0.86675,0.259375,0.2365,0.28225
5,5,0.83,0.947125,0.339875,0.3725,0.30725
6,6,0.88025,0.972,0.106625,0.1185,0.09475
7,7,0.930625,0.993375,0.047,0.06125,0.03275
8,8,0.944375,0.99275,0.07425,0.0795,0.069
9,9,0.954875,0.988375,0.07975,0.083,0.0765
10,10,0.95875,0.992875,0.088,0.08925,0.08675
11,11,0.954875,0.99075,0.088,0.088,0.088
