,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.477,0.787,1.27,0.51,1.212,0.506,1.312,0.5,1.717,0.497,1.577,0.507,1.899,0.501,2.12,0.499
1,1,0.382,0.841,1.434,0.491,1.389,0.48,1.409,0.481,2.006,0.5,1.657,0.508,1.721,0.516,2.294,0.498
2,2,0.308,0.878,1.693,0.513,1.599,0.502,1.62,0.505,2.7,0.5,2.393,0.513,1.735,0.505,2.877,0.499
3,3,0.148,0.947,2.232,0.522,2.08,0.532,2.161,0.519,3.303,0.524,1.811,0.566,1.252,0.562,3.09,0.532
4,4,0.042,0.989,1.873,0.597,1.73,0.617,1.729,0.613,4.325,0.501,1.499,0.644,1.397,0.499,4.858,0.496
5,5,0.048,0.986,1.653,0.634,1.564,0.646,1.629,0.645,3.401,0.491,2.427,0.527,1.497,0.507,3.959,0.495
6,6,1.056,0.74,2.428,0.544,2.512,0.526,2.614,0.507,2.42,0.427,2.367,0.425,1.737,0.497,2.819,0.395
7,7,2.254,0.56,3.133,0.47,3.104,0.47,3.139,0.471,2.353,0.389,3.404,0.423,1.514,0.505,2.826,0.351
8,8,1.921,0.628,2.619,0.528,2.591,0.533,2.767,0.538,2.657,0.488,1.878,0.436,2.982,0.493,2.492,0.438
9,9,1.153,0.756,1.651,0.672,1.577,0.682,1.704,0.667,2.73,0.418,3.468,0.455,1.402,0.45,2.222,0.442
10,10,1.332,0.689,1.715,0.641,1.646,0.652,1.69,0.639,2.494,0.419,2.969,0.41,1.781,0.399,2.538,0.383
11,11,5.863,0.449,5.857,0.454,5.834,0.456,5.855,0.452,5.887,0.456,5.899,0.457,5.879,0.456,5.888,0.456
