,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.53,0.767,1.256,0.505,1.278,0.487,1.292,0.49,1.665,0.5,1.463,0.504,1.792,0.503,2.156,0.499
1,1,0.4,0.831,1.435,0.483,1.458,0.487,1.475,0.473,1.972,0.5,1.575,0.502,1.476,0.5,2.277,0.498
2,2,0.436,0.825,1.694,0.472,1.592,0.482,1.598,0.493,2.467,0.5,2.019,0.519,1.442,0.498,2.713,0.501
3,3,0.191,0.938,2.458,0.482,2.406,0.479,2.365,0.48,2.8,0.53,1.753,0.597,1.581,0.497,3.292,0.525
4,4,0.065,0.977,2.124,0.569,2.016,0.569,1.966,0.58,4.053,0.513,2.109,0.592,1.31,0.513,4.714,0.51
5,5,0.069,0.976,1.748,0.626,1.66,0.628,1.698,0.629,3.223,0.502,2.011,0.557,1.287,0.5,4.024,0.51
6,6,1.232,0.709,2.752,0.512,2.702,0.482,2.798,0.492,2.434,0.407,2.417,0.468,1.85,0.478,2.649,0.397
7,7,2.268,0.549,3.159,0.472,3.037,0.481,3.089,0.468,2.402,0.356,3.745,0.455,1.862,0.526,2.388,0.371
8,8,1.703,0.646,2.46,0.558,2.332,0.561,2.357,0.553,2.908,0.443,3.234,0.417,1.69,0.471,2.381,0.413
9,9,1.206,0.75,1.662,0.675,1.586,0.688,1.641,0.677,2.994,0.424,3.811,0.451,1.356,0.42,2.415,0.406
10,10,1.335,0.683,1.658,0.642,1.64,0.648,1.636,0.644,2.549,0.416,3.209,0.416,1.553,0.42,2.307,0.441
11,11,5.863,0.449,5.856,0.454,5.833,0.456,5.854,0.452,5.887,0.455,5.885,0.456,5.884,0.456,5.878,0.455
