,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.371,0.846,1.095,0.541,1.071,0.544,1.019,0.586,1.835,0.5,1.428,0.507,1.855,0.499,2.005,0.501
1,1,0.092,0.966,0.743,0.759,0.708,0.772,0.791,0.753,2.24,0.5,1.43,0.654,1.518,0.532,2.023,0.512
2,2,0.033,0.99,0.473,0.87,0.481,0.864,0.541,0.854,3.305,0.5,1.803,0.644,1.532,0.494,3.135,0.518
3,3,0.008,0.997,0.377,0.904,0.398,0.906,0.398,0.9,3.315,0.529,0.937,0.795,1.602,0.511,1.789,0.71
4,4,0.006,0.999,0.46,0.885,0.453,0.886,0.469,0.888,2.462,0.623,0.974,0.759,1.147,0.501,2.246,0.663
5,5,0.005,1.0,0.595,0.856,0.56,0.871,0.593,0.855,1.34,0.746,1.059,0.75,1.604,0.471,1.868,0.731
6,6,2.616,0.415,4.596,0.231,4.56,0.215,4.64,0.21,3.615,0.272,2.248,0.385,1.795,0.439,3.533,0.296
7,7,3.887,0.237,5.053,0.14,4.946,0.153,5.11,0.14,3.214,0.272,2.145,0.336,2.741,0.426,3.329,0.269
8,8,3.464,0.317,4.412,0.215,4.377,0.231,4.541,0.215,3.628,0.209,2.401,0.287,3.711,0.221,3.446,0.279
9,9,3.093,0.401,3.734,0.307,3.727,0.323,3.973,0.299,2.623,0.341,2.301,0.384,2.877,0.374,1.755,0.573
10,10,3.912,0.317,4.348,0.274,4.355,0.274,4.546,0.27,3.255,0.256,3.505,0.238,1.074,0.636,2.112,0.453
11,11,10.387,0.01,10.432,0.005,10.404,0.01,10.426,0.008,10.126,0.011,10.179,0.011,10.122,0.011,10.111,0.011
