,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.468,0.784,1.225,0.491,1.206,0.497,1.252,0.5,1.818,0.5,1.534,0.5,1.702,0.515,1.956,0.499
1,1,0.535,0.776,1.455,0.468,1.445,0.485,1.416,0.484,1.813,0.5,1.529,0.501,1.578,0.517,2.067,0.497
2,2,0.722,0.735,1.631,0.492,1.591,0.49,1.654,0.472,2.159,0.5,1.972,0.505,1.555,0.531,2.194,0.502
3,3,0.722,0.779,2.33,0.474,2.403,0.492,2.315,0.491,3.183,0.513,1.847,0.624,1.528,0.508,3.172,0.527
4,4,0.541,0.834,2.61,0.465,2.493,0.503,2.583,0.489,4.585,0.499,1.359,0.685,1.317,0.512,4.6,0.506
5,5,0.862,0.762,2.872,0.445,2.847,0.467,2.893,0.452,2.606,0.527,2.108,0.566,1.38,0.501,3.781,0.503
6,6,3.344,0.331,5.215,0.181,5.164,0.183,5.319,0.172,3.379,0.324,2.965,0.398,1.89,0.453,3.775,0.268
7,7,4.072,0.213,5.179,0.136,5.119,0.15,5.376,0.122,2.871,0.294,2.213,0.336,2.528,0.404,2.976,0.267
8,8,3.7,0.328,4.583,0.226,4.576,0.236,4.718,0.221,3.23,0.302,1.83,0.403,3.586,0.221,2.669,0.385
9,9,3.325,0.385,3.895,0.315,3.887,0.316,3.974,0.3,2.227,0.391,2.271,0.353,2.526,0.416,1.887,0.515
10,10,4.0,0.301,4.395,0.261,4.388,0.278,4.352,0.253,3.494,0.286,4.13,0.194,0.873,0.686,2.666,0.396
11,11,10.387,0.01,10.432,0.005,10.404,0.011,10.423,0.008,10.13,0.011,10.154,0.011,10.12,0.011,10.115,0.011
