,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.103,0.661,1.941,0.5,1.903,0.503,1.952,0.524,1.271,0.506,1.268,0.493,1.376,0.512,1.566,0.498
1,1,1.653,0.624,2.585,0.505,2.524,0.511,2.598,0.511,1.22,0.526,1.345,0.499,1.345,0.523,1.462,0.545
2,2,1.574,0.63,2.208,0.514,2.331,0.514,2.296,0.511,1.268,0.522,1.287,0.546,1.324,0.558,1.499,0.523
3,3,0.989,0.748,2.289,0.532,2.338,0.538,2.269,0.544,1.546,0.606,1.788,0.647,1.159,0.556,2.017,0.592
4,4,0.849,0.794,2.269,0.548,2.314,0.54,2.19,0.557,1.299,0.696,1.427,0.671,1.293,0.51,1.88,0.626
5,5,0.8,0.801,2.11,0.549,2.152,0.542,2.096,0.557,1.376,0.638,2.144,0.563,1.34,0.538,1.811,0.612
6,6,0.567,0.857,1.927,0.515,1.887,0.536,1.882,0.537,1.88,0.584,2.129,0.55,1.399,0.514,2.066,0.559
7,7,0.45,0.883,1.426,0.587,1.423,0.583,1.393,0.578,1.566,0.533,1.579,0.58,1.366,0.503,1.724,0.557
8,8,0.374,0.936,1.085,0.688,1.081,0.686,1.014,0.692,1.148,0.462,1.261,0.578,1.19,0.481,1.055,0.622
9,9,0.359,0.9,0.944,0.681,0.933,0.675,0.895,0.686,1.353,0.449,1.194,0.598,1.152,0.547,0.849,0.671
10,10,1.042,0.678,1.254,0.586,1.374,0.569,1.179,0.598,2.177,0.452,0.991,0.612,1.285,0.535,0.751,0.728
11,11,9.732,0.001,6.957,0.176,6.93,0.181,6.861,0.181,6.82,0.182,6.843,0.181,6.811,0.182,6.817,0.181
