,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.157,0.657,1.948,0.497,1.932,0.502,1.941,0.499,1.197,0.512,1.323,0.49,1.247,0.526,1.479,0.503
1,1,1.673,0.638,2.572,0.501,2.59,0.499,2.549,0.512,1.262,0.521,1.242,0.532,1.301,0.518,1.42,0.535
2,2,1.719,0.604,2.349,0.507,2.433,0.505,2.409,0.507,1.157,0.529,1.24,0.557,1.319,0.522,1.525,0.54
3,3,1.11,0.724,2.374,0.529,2.425,0.539,2.421,0.532,1.423,0.625,2.114,0.592,1.25,0.527,1.983,0.582
4,4,0.942,0.749,2.409,0.537,2.415,0.521,2.391,0.532,1.574,0.638,1.401,0.667,1.324,0.511,1.786,0.632
5,5,0.786,0.788,2.076,0.533,2.103,0.528,2.197,0.506,1.49,0.644,1.688,0.602,1.395,0.537,1.459,0.629
6,6,0.579,0.863,1.925,0.534,2.011,0.53,2.023,0.515,1.997,0.562,2.025,0.556,1.224,0.522,1.924,0.594
7,7,0.535,0.866,1.454,0.587,1.519,0.58,1.448,0.583,1.642,0.547,2.098,0.514,1.361,0.49,1.645,0.563
8,8,0.39,0.931,1.054,0.695,1.116,0.675,1.055,0.691,1.378,0.502,1.59,0.551,1.281,0.493,1.215,0.604
9,9,0.4,0.895,0.912,0.689,0.955,0.674,0.922,0.683,1.367,0.42,0.969,0.64,1.354,0.541,0.766,0.681
10,10,1.072,0.68,1.294,0.593,1.283,0.58,1.244,0.581,2.324,0.409,1.075,0.657,1.423,0.484,0.702,0.732
11,11,9.732,0.001,6.958,0.176,6.931,0.181,6.861,0.181,6.818,0.182,6.833,0.182,6.812,0.18,6.816,0.181
