,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.179,0.656,1.893,0.503,1.81,0.522,1.952,0.492,1.278,0.487,1.246,0.499,1.366,0.495,1.7,0.482
1,1,1.9,0.596,2.586,0.515,2.568,0.517,2.69,0.501,1.332,0.48,1.357,0.471,1.363,0.511,1.628,0.476
2,2,1.815,0.602,2.438,0.505,2.487,0.514,2.589,0.504,1.304,0.504,1.216,0.538,1.385,0.497,1.643,0.479
3,3,0.512,0.867,1.798,0.662,1.838,0.651,1.908,0.645,1.551,0.618,1.668,0.671,1.401,0.497,1.363,0.719
4,4,0.101,0.97,1.315,0.749,1.298,0.755,1.372,0.753,1.36,0.699,2.484,0.587,1.47,0.512,2.275,0.642
5,5,0.057,0.984,1.181,0.775,1.106,0.779,1.131,0.781,2.4,0.597,3.177,0.529,1.436,0.5,3.022,0.559
6,6,0.296,0.901,1.634,0.661,1.645,0.666,1.857,0.649,2.552,0.566,2.653,0.526,1.411,0.477,2.653,0.56
7,7,0.267,0.916,1.286,0.682,1.35,0.665,1.419,0.654,1.479,0.637,2.734,0.567,1.32,0.446,1.927,0.616
8,8,0.543,0.872,1.185,0.685,1.174,0.688,1.234,0.679,1.521,0.438,1.397,0.611,1.5,0.427,1.252,0.676
9,9,0.504,0.877,0.958,0.725,0.937,0.716,1.052,0.703,1.576,0.473,1.017,0.651,1.586,0.491,0.886,0.737
10,10,1.011,0.778,1.285,0.686,1.232,0.686,1.376,0.648,2.333,0.445,1.155,0.688,1.102,0.632,0.942,0.76
11,11,9.98,0.0,8.409,0.075,8.39,0.081,8.353,0.077,8.273,0.082,8.278,0.08,8.273,0.082,8.273,0.08
