,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.34,0.638,1.985,0.5,1.908,0.52,1.993,0.502,1.21,0.495,1.323,0.491,1.365,0.507,1.617,0.484
1,1,1.729,0.625,2.627,0.51,2.489,0.531,2.728,0.497,1.267,0.476,1.372,0.488,1.43,0.498,1.706,0.445
2,2,1.922,0.58,2.523,0.514,2.515,0.521,2.681,0.502,1.291,0.48,1.529,0.497,1.297,0.49,1.677,0.464
3,3,1.306,0.698,2.95,0.502,2.885,0.523,3.011,0.503,1.851,0.513,2.947,0.543,1.397,0.488,2.729,0.494
4,4,0.885,0.765,2.944,0.503,2.873,0.532,2.973,0.508,1.887,0.614,1.847,0.617,1.376,0.501,2.339,0.603
5,5,1.336,0.678,2.875,0.498,2.848,0.512,2.93,0.497,2.253,0.549,2.832,0.531,1.381,0.497,2.713,0.529
6,6,0.419,0.856,2.017,0.512,1.975,0.534,2.092,0.493,2.096,0.576,2.019,0.574,1.429,0.508,2.28,0.55
7,7,0.516,0.822,1.766,0.571,1.815,0.56,1.908,0.545,1.913,0.559,2.066,0.558,1.414,0.422,2.279,0.567
8,8,0.633,0.862,1.454,0.659,1.444,0.664,1.545,0.645,1.575,0.449,1.577,0.573,1.58,0.425,1.477,0.64
9,9,0.623,0.858,1.137,0.703,1.138,0.7,1.298,0.668,1.635,0.476,0.781,0.744,1.664,0.521,0.956,0.75
10,10,1.037,0.78,1.368,0.673,1.322,0.671,1.533,0.642,1.857,0.469,1.01,0.665,1.265,0.597,1.019,0.764
11,11,9.981,0.0,8.41,0.075,8.391,0.081,8.354,0.077,8.266,0.08,8.273,0.081,8.273,0.082,8.267,0.082
