,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.54,0.532625,0.432125,0.4345,0.42975
1,1,0.553,0.5865,0.42375,0.42575,0.42175
2,2,0.507125,0.716875,0.41375,0.41075,0.41675
3,3,0.731625,0.82475,0.406,0.40675,0.40525
4,4,0.784625,0.86625,0.416875,0.4205,0.41325
5,5,0.811,0.88075,0.426375,0.4285,0.42425
6,6,0.753875,0.88075,0.430125,0.43025,0.43
7,7,0.73375,0.8895,0.431375,0.4305,0.43225
8,8,0.782375,0.89225,0.4295,0.42925,0.42975
9,9,0.793375,0.88325,0.430625,0.43,0.43125
10,10,0.7785,0.867875,0.431,0.43125,0.43075
11,11,0.767875,0.84475,0.43075,0.43075,0.43075
