,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.54,0.532625,0.431875,0.43,0.43375
1,1,0.553,0.5865,0.441625,0.43925,0.444
2,2,0.507125,0.716875,0.452625,0.45425,0.451
3,3,0.731625,0.82475,0.466625,0.46625,0.467
4,4,0.784625,0.86625,0.44925,0.44725,0.45125
5,5,0.811,0.88075,0.43875,0.43775,0.43975
6,6,0.753875,0.88075,0.433875,0.43475,0.433
7,7,0.73375,0.8895,0.433375,0.43425,0.4325
8,8,0.782375,0.89225,0.433625,0.43575,0.4315
9,9,0.793375,0.88325,0.431875,0.433,0.43075
10,10,0.7785,0.867875,0.430125,0.43,0.43025
11,11,0.767875,0.84475,0.43075,0.43075,0.43075
