,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.75,0.724,1.391,0.5,1.402,0.514,1.419,0.507,1.006,0.508,0.878,0.575,1.039,0.508,1.332,0.529
1,1,0.643,0.814,1.633,0.544,1.642,0.535,1.623,0.538,1.451,0.523,0.744,0.708,1.184,0.525,1.606,0.575
2,2,0.818,0.777,1.72,0.535,1.705,0.536,1.699,0.535,1.597,0.528,1.049,0.611,1.617,0.495,1.759,0.551
3,3,1.559,0.589,2.085,0.453,2.08,0.451,2.061,0.462,1.95,0.457,2.11,0.484,1.656,0.457,2.155,0.418
4,4,1.959,0.51,2.194,0.452,2.216,0.45,2.194,0.449,2.063,0.429,2.193,0.394,1.561,0.494,2.134,0.449
5,5,1.844,0.504,2.039,0.456,2.072,0.462,2.076,0.458,2.023,0.429,2.044,0.386,1.615,0.494,2.038,0.428
6,6,1.729,0.463,1.798,0.441,1.873,0.44,1.862,0.433,1.875,0.42,1.518,0.409,1.708,0.489,1.833,0.411
7,7,1.74,0.439,1.76,0.429,1.821,0.428,1.814,0.428,1.659,0.419,1.251,0.41,1.461,0.475,1.727,0.42
8,8,2.068,0.457,2.104,0.443,2.139,0.443,2.104,0.446,2.064,0.437,1.738,0.423,2.102,0.472,2.097,0.427
9,9,2.056,0.425,2.042,0.429,2.08,0.427,2.027,0.426,1.983,0.417,1.458,0.415,2.381,0.419,2.047,0.412
10,10,2.597,0.386,2.59,0.386,2.577,0.39,2.587,0.392,2.577,0.39,2.577,0.39,2.577,0.39,2.577,0.39
11,11,2.597,0.386,2.59,0.386,2.577,0.39,2.587,0.392,2.577,0.39,2.577,0.39,2.577,0.39,2.577,0.39
