,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.83,0.688,1.441,0.469,1.469,0.457,1.451,0.469,0.999,0.505,0.822,0.566,0.972,0.498,1.138,0.533
1,1,1.011,0.712,1.971,0.457,1.984,0.457,1.965,0.46,1.289,0.511,0.897,0.656,1.039,0.505,1.669,0.561
2,2,1.274,0.653,2.034,0.451,2.046,0.445,2.053,0.45,1.516,0.501,1.534,0.554,0.971,0.505,1.791,0.507
3,3,1.924,0.516,2.258,0.439,2.236,0.444,2.289,0.427,1.999,0.469,2.113,0.471,1.589,0.439,2.128,0.46
4,4,1.916,0.496,2.134,0.446,2.16,0.443,2.131,0.44,1.943,0.444,2.021,0.417,1.466,0.484,2.101,0.424
5,5,1.845,0.497,2.028,0.443,2.068,0.452,2.051,0.448,2.032,0.432,2.341,0.36,1.182,0.49,2.123,0.411
6,6,1.805,0.463,1.85,0.444,1.913,0.444,1.882,0.433,1.965,0.414,1.55,0.402,1.698,0.487,1.942,0.399
7,7,1.764,0.437,1.79,0.435,1.863,0.432,1.844,0.429,1.722,0.422,1.565,0.404,1.189,0.464,1.841,0.417
8,8,2.036,0.465,2.079,0.451,2.11,0.453,2.084,0.449,2.086,0.441,1.629,0.456,2.109,0.457,2.122,0.419
9,9,2.059,0.423,2.071,0.421,2.078,0.427,2.098,0.423,2.126,0.414,2.496,0.392,1.028,0.496,2.023,0.418
10,10,2.597,0.386,2.59,0.386,2.577,0.39,2.587,0.392,2.577,0.39,2.577,0.39,2.577,0.39,2.577,0.39
11,11,2.597,0.386,2.59,0.386,2.577,0.39,2.587,0.392,2.577,0.39,2.577,0.39,2.577,0.39,2.577,0.39
