,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.129,0.964,0.491,0.853,0.524,0.845,0.553,0.833,1.166,0.504,0.72,0.74,0.992,0.5,1.118,0.655
1,1,0.094,0.978,0.478,0.864,0.49,0.858,0.521,0.851,1.633,0.555,0.611,0.819,1.327,0.528,1.232,0.698
2,2,0.272,0.922,0.828,0.758,0.804,0.769,0.842,0.76,1.302,0.637,0.746,0.759,1.671,0.487,1.122,0.703
3,3,1.888,0.49,2.263,0.397,2.256,0.398,2.333,0.381,2.028,0.423,1.561,0.518,1.556,0.433,2.117,0.435
4,4,2.478,0.355,2.702,0.3,2.673,0.306,2.666,0.315,2.215,0.422,2.114,0.416,1.807,0.471,2.335,0.398
5,5,2.652,0.324,2.94,0.259,2.852,0.277,2.888,0.273,2.667,0.312,2.523,0.325,2.258,0.313,2.569,0.345
6,6,3.144,0.217,3.28,0.186,3.219,0.202,3.286,0.186,3.372,0.154,3.452,0.145,2.353,0.309,3.217,0.193
7,7,3.037,0.13,3.102,0.115,3.068,0.128,3.135,0.104,2.967,0.106,1.926,0.237,3.485,0.079,2.846,0.126
8,8,3.131,0.171,3.167,0.164,3.186,0.165,3.194,0.155,3.026,0.17,2.244,0.27,3.579,0.095,2.94,0.185
9,9,3.221,0.112,3.229,0.11,3.227,0.119,3.252,0.103,3.17,0.097,2.14,0.207,3.819,0.07,3.143,0.103
10,10,3.057,0.07,3.123,0.065,3.031,0.071,3.073,0.066,2.984,0.077,3.838,0.067,0.937,0.155,2.985,0.082
11,11,3.957,0.062,3.981,0.058,3.951,0.068,3.981,0.058,3.951,0.068,3.951,0.068,3.951,0.068,3.951,0.068
