,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.938,0.645,1.417,0.482,1.442,0.468,1.392,0.481,0.907,0.507,0.815,0.551,0.973,0.499,1.062,0.522
1,1,1.311,0.622,1.864,0.49,1.878,0.485,1.931,0.467,1.131,0.497,0.732,0.707,0.83,0.509,1.279,0.615
2,2,1.798,0.523,2.174,0.43,2.087,0.448,2.186,0.432,1.528,0.501,1.512,0.54,0.824,0.478,1.786,0.5
3,3,2.263,0.415,2.471,0.365,2.509,0.354,2.542,0.348,1.74,0.478,1.667,0.499,1.643,0.467,2.017,0.451
4,4,2.67,0.317,2.745,0.299,2.737,0.297,2.729,0.306,2.135,0.444,1.945,0.474,1.864,0.497,2.131,0.439
5,5,2.88,0.283,3.114,0.228,3.063,0.242,3.137,0.226,2.644,0.318,2.667,0.305,2.414,0.315,2.675,0.32
6,6,3.183,0.189,3.264,0.174,3.296,0.167,3.335,0.159,3.142,0.183,3.416,0.139,2.511,0.234,3.117,0.193
7,7,2.977,0.113,3.042,0.096,3.037,0.099,3.112,0.093,2.949,0.092,2.015,0.127,3.358,0.09,2.88,0.093
8,8,3.169,0.176,3.2,0.161,3.224,0.161,3.288,0.143,3.097,0.157,2.19,0.272,3.62,0.095,3.078,0.169
9,9,3.195,0.124,3.221,0.11,3.222,0.119,3.276,0.103,3.202,0.098,2.227,0.192,3.825,0.07,3.182,0.097
10,10,3.084,0.074,3.167,0.066,3.095,0.078,3.111,0.069,2.725,0.086,3.819,0.067,0.941,0.153,2.976,0.078
11,11,3.957,0.062,3.981,0.058,3.951,0.068,3.981,0.058,3.951,0.068,3.951,0.068,3.951,0.068,3.951,0.068
