,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.952,0.64,1.378,0.503,1.357,0.517,1.399,0.499,0.913,0.496,1.116,0.502,0.963,0.498,1.227,0.492
1,1,0.499,0.853,1.719,0.489,1.667,0.513,1.661,0.523,1.504,0.53,1.56,0.527,1.3,0.538,1.631,0.508
2,2,0.469,0.868,1.705,0.506,1.77,0.488,1.727,0.493,1.623,0.507,1.613,0.528,1.592,0.502,1.673,0.508
3,3,0.471,0.845,1.599,0.503,1.563,0.506,1.524,0.526,1.529,0.514,1.434,0.538,1.485,0.512,1.539,0.518
4,4,0.517,0.808,1.552,0.499,1.564,0.498,1.554,0.501,1.519,0.509,1.507,0.526,1.392,0.496,1.528,0.501
5,5,0.514,0.775,1.422,0.509,1.46,0.486,1.497,0.483,1.534,0.497,1.64,0.497,1.205,0.486,1.402,0.492
6,6,0.563,0.701,1.262,0.497,1.293,0.477,1.292,0.496,1.337,0.475,1.541,0.479,0.866,0.478,1.13,0.482
7,7,0.579,0.692,1.196,0.494,1.264,0.469,1.288,0.481,1.323,0.466,1.38,0.46,0.862,0.471,1.203,0.467
8,8,0.603,0.692,1.192,0.495,1.253,0.473,1.27,0.479,1.345,0.475,1.414,0.488,0.786,0.484,1.153,0.459
9,9,0.789,0.59,1.094,0.494,1.124,0.472,1.132,0.483,1.072,0.466,0.862,0.476,1.127,0.481,0.965,0.475
10,10,1.228,0.488,1.242,0.488,1.284,0.469,1.266,0.499,1.238,0.464,0.902,0.483,1.669,0.467,1.148,0.474
11,11,1.863,0.472,1.867,0.475,1.891,0.466,1.922,0.466,1.891,0.466,1.891,0.466,1.891,0.466,1.891,0.466
