,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.863,0.685,1.401,0.506,1.431,0.494,1.408,0.5,0.958,0.484,1.121,0.513,0.935,0.492,1.346,0.49
1,1,0.46,0.861,1.625,0.523,1.667,0.514,1.695,0.516,1.572,0.494,1.655,0.511,1.391,0.499,1.688,0.494
2,2,0.466,0.865,1.691,0.509,1.741,0.489,1.767,0.499,1.731,0.489,1.689,0.493,1.663,0.488,1.837,0.465
3,3,0.424,0.859,1.678,0.481,1.649,0.507,1.646,0.506,1.7,0.491,1.591,0.49,1.611,0.515,1.683,0.487
4,4,0.511,0.789,1.5,0.501,1.534,0.495,1.506,0.491,1.626,0.482,1.308,0.505,1.759,0.488,1.546,0.487
5,5,0.532,0.756,1.449,0.487,1.428,0.487,1.407,0.494,1.465,0.473,0.93,0.486,1.795,0.481,1.362,0.483
6,6,0.589,0.677,1.315,0.473,1.31,0.472,1.311,0.467,1.372,0.463,0.915,0.473,1.72,0.469,1.162,0.469
7,7,0.586,0.653,1.227,0.467,1.208,0.462,1.224,0.477,1.283,0.466,0.82,0.484,1.549,0.475,1.094,0.468
8,8,0.599,0.668,1.277,0.477,1.294,0.464,1.259,0.476,1.302,0.442,0.882,0.467,1.686,0.472,1.163,0.451
9,9,0.909,0.605,1.297,0.476,1.345,0.457,1.318,0.474,1.326,0.455,1.394,0.434,0.812,0.498,1.232,0.468
10,10,1.266,0.475,1.336,0.455,1.343,0.452,1.329,0.468,1.284,0.448,0.845,0.502,1.87,0.435,1.129,0.467
11,11,2.067,0.431,2.042,0.429,2.051,0.43,2.038,0.434,2.051,0.43,2.051,0.43,2.051,0.43,2.051,0.43
