,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.97,0.646,1.431,0.485,1.421,0.491,1.392,0.506,0.93,0.5,1.135,0.497,0.889,0.499,1.29,0.479
1,1,0.519,0.843,1.781,0.472,1.816,0.477,1.737,0.491,1.638,0.492,1.645,0.505,1.353,0.493,1.738,0.501
2,2,0.502,0.851,1.817,0.474,1.84,0.468,1.777,0.49,1.685,0.493,1.717,0.492,1.674,0.473,1.756,0.476
3,3,0.539,0.843,1.848,0.467,1.868,0.463,1.883,0.459,1.684,0.499,1.783,0.488,1.597,0.487,1.86,0.471
4,4,0.513,0.797,1.588,0.462,1.622,0.468,1.575,0.484,1.672,0.488,1.403,0.479,1.81,0.477,1.651,0.479
5,5,0.573,0.762,1.548,0.465,1.608,0.453,1.516,0.476,1.518,0.477,1.013,0.503,1.8,0.475,1.353,0.48
6,6,0.583,0.709,1.415,0.454,1.443,0.458,1.364,0.467,1.466,0.461,1.011,0.46,1.757,0.45,1.308,0.454
7,7,0.644,0.661,1.301,0.455,1.315,0.457,1.252,0.469,1.286,0.451,0.907,0.479,1.722,0.448,1.069,0.462
8,8,0.63,0.666,1.21,0.468,1.216,0.461,1.142,0.469,1.202,0.446,0.782,0.484,1.668,0.473,1.057,0.462
9,9,0.821,0.555,1.126,0.453,1.147,0.458,1.087,0.467,1.16,0.46,0.777,0.471,1.407,0.466,0.991,0.457
10,10,1.328,0.462,1.307,0.457,1.358,0.466,1.347,0.461,1.297,0.463,0.833,0.486,1.852,0.432,1.228,0.465
11,11,2.067,0.431,2.042,0.429,2.051,0.43,2.038,0.434,2.051,0.43,2.051,0.43,2.051,0.43,2.051,0.43
