,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.51275,0.54775,0.504,0.50425,0.50375
1,1,0.544125,0.58,0.5065,0.50525,0.50775
2,2,0.527,0.621,0.506125,0.504,0.50825
3,3,0.503,0.653,0.509875,0.512,0.50775
4,4,0.5385,0.680125,0.505375,0.50825,0.5025
5,5,0.628125,0.709125,0.506625,0.508,0.50525
6,6,0.676125,0.7965,0.504625,0.50575,0.5035
7,7,0.728625,0.80125,0.503,0.505,0.501
8,8,0.743625,0.825625,0.502125,0.5005,0.50375
9,9,0.63725,0.836,0.50675,0.507,0.5065
10,10,0.7225,0.843625,0.506,0.506,0.506
11,11,0.69575,0.807125,0.506,0.506,0.506
