,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.718,0.543,0.785,0.502,0.787,0.506,0.795,0.503,0.705,0.533,0.791,0.506,0.724,0.47,0.738,0.516
1,1,0.798,0.506,0.825,0.5,0.828,0.499,0.84,0.501,0.69,0.534,0.7,0.519,0.726,0.508,0.797,0.5
2,2,0.72,0.565,0.858,0.499,0.849,0.497,0.853,0.504,0.688,0.582,0.8,0.504,0.739,0.537,0.767,0.52
3,3,0.745,0.544,0.859,0.499,0.846,0.505,0.858,0.504,0.712,0.534,0.724,0.557,0.755,0.517,0.769,0.521
4,4,0.765,0.538,0.88,0.499,0.865,0.505,0.878,0.501,0.718,0.547,0.944,0.497,0.719,0.547,0.799,0.506
5,5,0.818,0.524,0.917,0.497,0.907,0.502,0.915,0.504,0.732,0.55,0.861,0.511,0.75,0.541,0.829,0.505
6,6,0.879,0.507,0.932,0.499,0.926,0.501,0.929,0.503,0.766,0.528,0.992,0.495,0.749,0.505,0.876,0.499
7,7,0.888,0.507,0.914,0.501,0.915,0.503,0.916,0.501,0.723,0.516,0.891,0.496,0.744,0.497,0.876,0.499
8,8,0.948,0.5,0.964,0.5,0.965,0.5,0.972,0.5,0.764,0.506,0.959,0.5,0.719,0.491,0.948,0.498
9,9,0.971,0.5,0.983,0.5,0.978,0.5,0.986,0.5,0.824,0.49,0.966,0.499,0.727,0.473,0.976,0.5
10,10,1.006,0.5,1.01,0.5,1.008,0.5,1.019,0.5,0.892,0.5,0.985,0.5,0.878,0.5,1.004,0.5
11,11,1.022,0.5,1.024,0.5,1.024,0.5,1.035,0.5,1.024,0.5,1.024,0.5,1.024,0.5,1.024,0.5
