,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.722,0.539,0.787,0.507,0.79,0.496,0.796,0.486,0.727,0.502,0.729,0.495,0.713,0.488,0.739,0.517
1,1,0.762,0.522,0.792,0.509,0.807,0.51,0.812,0.495,0.67,0.573,0.684,0.546,0.707,0.498,0.761,0.492
2,2,0.718,0.558,0.85,0.503,0.846,0.501,0.839,0.5,0.691,0.582,0.771,0.501,0.719,0.544,0.786,0.5
3,3,0.735,0.544,0.866,0.498,0.853,0.501,0.846,0.505,0.713,0.554,0.782,0.521,0.743,0.535,0.765,0.504
4,4,0.778,0.529,0.889,0.5,0.878,0.5,0.874,0.505,0.688,0.58,0.887,0.497,0.727,0.543,0.788,0.515
5,5,0.809,0.527,0.906,0.502,0.904,0.501,0.898,0.508,0.696,0.58,0.854,0.504,0.782,0.511,0.843,0.487
6,6,0.891,0.503,0.935,0.5,0.938,0.5,0.936,0.501,0.687,0.594,0.962,0.493,0.734,0.526,0.87,0.501
7,7,0.901,0.508,0.926,0.504,0.932,0.5,0.926,0.504,0.754,0.49,0.942,0.5,0.751,0.505,0.888,0.495
8,8,0.953,0.5,0.963,0.5,0.97,0.5,0.976,0.5,0.765,0.5,0.939,0.5,0.715,0.483,0.95,0.5
9,9,0.996,0.5,1.003,0.5,1.002,0.5,1.011,0.5,0.765,0.488,0.953,0.499,0.766,0.495,0.997,0.5
10,10,1.017,0.5,1.02,0.5,1.02,0.5,1.03,0.5,0.932,0.5,1.016,0.5,0.854,0.5,1.017,0.5
11,11,1.022,0.5,1.024,0.5,1.024,0.5,1.035,0.5,1.024,0.5,1.024,0.5,1.024,0.5,1.024,0.5
