,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.721,0.549,0.783,0.504,0.776,0.514,0.772,0.522,0.687,0.542,1.093,0.498,0.751,0.495,0.749,0.5
1,1,0.745,0.537,0.784,0.507,0.788,0.497,0.771,0.512,0.717,0.514,0.69,0.537,0.705,0.483,0.735,0.508
2,2,0.671,0.589,0.817,0.513,0.8,0.521,0.804,0.513,0.69,0.575,0.753,0.534,0.785,0.5,0.753,0.52
3,3,0.685,0.58,0.794,0.521,0.79,0.524,0.789,0.523,0.693,0.571,0.781,0.529,0.714,0.533,0.737,0.528
4,4,0.73,0.542,0.822,0.521,0.813,0.527,0.82,0.512,0.737,0.536,0.889,0.511,0.725,0.56,0.753,0.53
5,5,0.776,0.537,0.871,0.51,0.856,0.513,0.865,0.507,0.696,0.573,0.836,0.521,0.785,0.53,0.799,0.512
6,6,0.858,0.506,0.906,0.505,0.898,0.502,0.9,0.502,0.731,0.554,0.911,0.496,0.726,0.545,0.836,0.512
7,7,0.879,0.507,0.913,0.503,0.905,0.505,0.903,0.498,0.741,0.517,0.909,0.495,0.691,0.531,0.853,0.499
8,8,0.969,0.5,0.973,0.5,0.968,0.5,0.969,0.5,0.761,0.474,0.902,0.501,0.709,0.516,0.933,0.5
9,9,0.996,0.5,0.995,0.5,0.992,0.5,0.99,0.5,0.785,0.503,0.897,0.499,0.744,0.514,0.974,0.5
10,10,1.015,0.5,1.013,0.5,1.006,0.5,1.007,0.5,0.902,0.5,0.998,0.5,0.823,0.5,0.996,0.5
11,11,1.039,0.5,1.032,0.5,1.026,0.5,1.027,0.5,1.026,0.5,1.026,0.5,1.026,0.5,1.026,0.5
