,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.745,0.527,0.769,0.512,0.778,0.493,0.776,0.502,0.683,0.557,0.765,0.514,0.705,0.501,0.722,0.527
1,1,0.786,0.51,0.809,0.502,0.82,0.494,0.813,0.504,0.707,0.5,0.708,0.519,0.735,0.492,0.769,0.498
2,2,0.697,0.579,0.828,0.501,0.819,0.508,0.834,0.498,0.698,0.552,0.757,0.521,0.734,0.522,0.746,0.517
3,3,0.748,0.556,0.843,0.499,0.836,0.506,0.848,0.503,0.717,0.521,0.759,0.531,0.719,0.48,0.791,0.488
4,4,0.728,0.556,0.845,0.508,0.843,0.504,0.848,0.507,0.726,0.56,0.781,0.53,0.772,0.502,0.764,0.52
5,5,0.786,0.538,0.88,0.509,0.882,0.506,0.882,0.501,0.723,0.548,0.843,0.514,0.756,0.527,0.793,0.504
6,6,0.865,0.51,0.915,0.505,0.911,0.499,0.914,0.498,0.758,0.531,0.931,0.487,0.75,0.543,0.837,0.501
7,7,0.877,0.509,0.914,0.502,0.907,0.503,0.91,0.497,0.728,0.499,0.881,0.499,0.691,0.54,0.837,0.502
8,8,0.955,0.5,0.965,0.5,0.96,0.5,0.959,0.499,0.747,0.515,0.927,0.501,0.703,0.526,0.932,0.499
9,9,1.006,0.5,1.005,0.5,0.998,0.5,1.003,0.5,0.778,0.502,0.942,0.499,0.754,0.499,0.993,0.5
10,10,1.028,0.5,1.024,0.5,1.017,0.5,1.019,0.5,0.923,0.5,1.017,0.5,0.859,0.5,1.008,0.5
11,11,1.039,0.5,1.032,0.5,1.026,0.5,1.027,0.5,1.026,0.5,1.026,0.5,1.026,0.5,1.026,0.5
