,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.82,0.582,0.988,0.52,0.969,0.531,1.002,0.516,0.894,0.508,0.831,0.518,1.003,0.494,1.058,0.521
1,1,0.748,0.536,0.793,0.494,0.788,0.495,0.773,0.528,0.708,0.512,0.731,0.501,0.709,0.494,0.838,0.499
2,2,0.237,0.913,1.257,0.513,1.281,0.506,1.314,0.508,1.242,0.484,1.359,0.505,1.316,0.461,1.251,0.511
3,3,0.318,0.869,1.207,0.512,1.222,0.505,1.264,0.502,1.189,0.513,1.165,0.487,1.551,0.496,1.291,0.521
4,4,0.281,0.887,1.241,0.497,1.208,0.522,1.258,0.501,1.274,0.514,1.301,0.505,1.09,0.51,1.368,0.488
5,5,0.253,0.907,1.386,0.5,1.397,0.495,1.419,0.502,1.471,0.489,1.412,0.506,1.579,0.499,1.377,0.497
6,6,0.341,0.866,1.292,0.49,1.256,0.517,1.341,0.486,1.301,0.503,1.371,0.496,1.052,0.516,1.283,0.517
7,7,0.444,0.819,1.133,0.518,1.149,0.52,1.162,0.509,1.226,0.497,1.133,0.476,1.098,0.49,1.195,0.511
8,8,0.869,0.594,1.174,0.5,1.15,0.515,1.162,0.515,1.039,0.512,1.103,0.503,0.922,0.484,1.167,0.516
9,9,1.363,0.506,1.432,0.501,1.434,0.498,1.425,0.492,1.163,0.501,1.381,0.507,1.136,0.49,1.375,0.515
10,10,1.651,0.482,1.565,0.506,1.567,0.507,1.562,0.498,1.305,0.509,1.648,0.508,0.868,0.497,1.497,0.507
11,11,2.078,0.48,1.889,0.503,1.905,0.505,1.933,0.493,1.905,0.505,1.905,0.505,1.905,0.505,1.905,0.505
