,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.395,0.806,1.026,0.517,1.069,0.501,1.055,0.504,1.26,0.508,1.272,0.52,1.219,0.501,1.206,0.496
1,1,0.74,0.526,0.793,0.517,0.768,0.506,0.771,0.507,0.722,0.501,0.729,0.503,0.742,0.495,0.833,0.517
2,2,0.347,0.857,1.228,0.523,1.285,0.511,1.331,0.484,1.18,0.49,1.248,0.493,1.278,0.487,1.322,0.491
3,3,0.34,0.86,1.17,0.517,1.193,0.485,1.204,0.503,1.246,0.495,1.023,0.508,1.546,0.498,1.209,0.508
4,4,0.265,0.896,1.203,0.51,1.252,0.5,1.292,0.49,1.265,0.509,1.522,0.495,1.164,0.48,1.326,0.506
5,5,0.276,0.898,1.392,0.507,1.341,0.512,1.423,0.494,1.347,0.495,1.466,0.509,1.182,0.517,1.437,0.496
6,6,0.375,0.857,1.231,0.517,1.24,0.514,1.252,0.518,1.233,0.519,1.425,0.473,1.179,0.492,1.251,0.506
7,7,0.51,0.786,1.161,0.507,1.146,0.52,1.16,0.513,1.25,0.491,1.115,0.506,0.905,0.495,1.205,0.513
8,8,0.94,0.574,1.204,0.484,1.172,0.507,1.171,0.505,1.169,0.491,1.136,0.488,0.989,0.49,1.199,0.491
9,9,1.397,0.5,1.428,0.495,1.431,0.507,1.441,0.494,1.123,0.494,1.301,0.517,1.136,0.497,1.393,0.507
10,10,1.639,0.48,1.561,0.497,1.549,0.505,1.546,0.497,1.363,0.502,1.53,0.508,0.824,0.503,1.551,0.512
11,11,2.078,0.48,1.889,0.503,1.905,0.505,1.933,0.493,1.905,0.505,1.905,0.505,1.905,0.505,1.905,0.505
