,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.421,0.762,1.001,0.498,0.997,0.521,1.06,0.489,1.144,0.495,1.238,0.503,1.229,0.514,1.116,0.491
1,1,0.746,0.542,0.8,0.49,0.781,0.507,0.787,0.489,0.734,0.502,0.776,0.513,0.704,0.511,0.915,0.5
2,2,0.301,0.887,1.388,0.494,1.359,0.496,1.41,0.492,1.305,0.491,1.302,0.531,1.124,0.483,1.336,0.504
3,3,0.326,0.878,1.288,0.503,1.295,0.503,1.355,0.497,1.406,0.48,1.304,0.499,1.36,0.484,1.394,0.494
4,4,0.312,0.867,1.245,0.515,1.267,0.505,1.336,0.489,1.39,0.51,1.367,0.513,1.52,0.481,1.501,0.496
5,5,0.294,0.886,1.326,0.512,1.379,0.502,1.462,0.477,1.452,0.502,1.585,0.501,1.792,0.483,1.422,0.487
6,6,0.237,0.909,1.297,0.521,1.363,0.511,1.419,0.486,1.445,0.505,1.552,0.503,1.214,0.493,1.335,0.517
7,7,0.592,0.743,1.222,0.527,1.303,0.504,1.367,0.483,1.302,0.481,1.563,0.501,0.861,0.499,1.302,0.489
8,8,1.003,0.581,1.221,0.506,1.285,0.521,1.322,0.48,1.231,0.512,1.339,0.486,0.811,0.506,1.307,0.507
9,9,1.375,0.513,1.46,0.5,1.504,0.495,1.511,0.49,1.294,0.48,1.432,0.506,1.119,0.511,1.489,0.503
10,10,1.723,0.481,1.64,0.502,1.664,0.496,1.689,0.483,1.373,0.495,1.725,0.503,0.84,0.51,1.662,0.502
11,11,2.073,0.478,1.945,0.501,1.957,0.497,1.987,0.486,1.957,0.497,1.957,0.497,1.957,0.497,1.957,0.497
