,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.709,0.607,0.912,0.512,0.913,0.509,0.924,0.511,0.747,0.495,0.774,0.487,0.765,0.5,0.903,0.494
1,1,0.731,0.535,0.776,0.499,0.767,0.492,0.772,0.495,0.703,0.476,0.703,0.489,0.73,0.5,0.878,0.499
2,2,0.21,0.926,1.331,0.501,1.357,0.494,1.398,0.493,1.298,0.501,1.275,0.517,1.255,0.499,1.348,0.489
3,3,0.272,0.899,1.295,0.514,1.337,0.501,1.404,0.462,1.329,0.488,1.456,0.498,1.313,0.492,1.398,0.493
4,4,0.3,0.887,1.259,0.514,1.275,0.5,1.332,0.493,1.492,0.503,1.603,0.515,1.522,0.496,1.415,0.501
5,5,0.296,0.886,1.387,0.502,1.426,0.501,1.464,0.487,1.464,0.494,1.692,0.503,1.195,0.507,1.474,0.488
6,6,0.226,0.92,1.349,0.508,1.402,0.505,1.435,0.478,1.384,0.498,1.464,0.491,1.146,0.519,1.382,0.509
7,7,0.48,0.797,1.26,0.502,1.31,0.49,1.347,0.468,1.345,0.501,1.302,0.493,1.051,0.496,1.312,0.502
8,8,1.002,0.589,1.264,0.498,1.275,0.494,1.315,0.479,1.14,0.499,1.317,0.488,0.952,0.499,1.306,0.491
9,9,1.415,0.517,1.484,0.513,1.524,0.499,1.55,0.487,1.203,0.51,1.417,0.495,1.206,0.501,1.461,0.508
10,10,1.757,0.483,1.665,0.503,1.687,0.499,1.714,0.485,1.421,0.493,1.665,0.5,0.859,0.507,1.643,0.501
11,11,2.073,0.478,1.945,0.501,1.957,0.497,1.987,0.486,1.957,0.497,1.957,0.497,1.957,0.497,1.957,0.497
