,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
1,1,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
2,2,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
3,3,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
4,4,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
5,5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
6,6,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
7,7,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
8,8,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
9,9,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
10,10,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
11,11,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5,0.829,0.5
