,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
1,1,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
2,2,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
3,3,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
4,4,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
5,5,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
6,6,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
7,7,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
8,8,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
9,9,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
10,10,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
11,11,0.775,0.408,0.724,0.491,0.718,0.509,0.722,0.498,0.718,0.509,0.718,0.509,0.718,0.509,0.718,0.509
