,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
1,1,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
2,2,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
3,3,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
4,4,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
5,5,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
6,6,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
7,7,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
8,8,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
9,9,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
10,10,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
11,11,0.784,0.397,0.715,0.491,0.707,0.523,0.72,0.512,0.707,0.523,0.707,0.523,0.707,0.523,0.707,0.523
