,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.067,0.981,0.698,0.783,0.776,0.763,0.776,0.757,1.687,0.5,2.96,0.492,1.178,0.5,2.83,0.5
1,1,0.021,0.995,0.585,0.848,0.609,0.833,0.634,0.837,2.093,0.5,1.395,0.648,1.301,0.5,2.896,0.508
2,2,0.012,0.995,0.447,0.885,0.447,0.898,0.424,0.895,3.116,0.5,0.57,0.834,1.541,0.5,1.93,0.65
3,3,0.006,0.998,0.389,0.911,0.42,0.9,0.393,0.905,3.217,0.525,1.062,0.745,2.046,0.5,1.294,0.795
4,4,0.421,0.863,1.824,0.603,1.799,0.619,1.811,0.607,2.072,0.567,1.951,0.551,2.33,0.5,2.146,0.56
5,5,3.945,0.249,4.908,0.178,4.931,0.172,4.943,0.172,4.142,0.266,2.948,0.353,3.411,0.5,3.736,0.297
6,6,3.969,0.095,4.801,0.063,4.814,0.073,4.751,0.078,3.496,0.199,3.763,0.164,4.71,0.195,3.296,0.183
7,7,3.289,0.031,3.969,0.026,3.907,0.022,3.993,0.024,4.861,0.026,3.313,0.029,5.371,0.051,3.05,0.057
8,8,3.877,0.031,4.558,0.033,4.461,0.032,4.547,0.035,4.743,0.022,3.981,0.025,6.209,0.028,3.501,0.029
9,9,5.329,0.037,5.649,0.033,5.694,0.03,5.758,0.028,5.557,0.021,5.96,0.021,6.666,0.02,5.125,0.025
10,10,6.855,0.017,7.051,0.019,7.02,0.021,7.032,0.023,7.092,0.018,7.005,0.018,6.843,0.018,6.897,0.017
11,11,8.886,0.011,8.859,0.018,8.839,0.018,8.862,0.018,8.839,0.018,8.839,0.018,8.839,0.018,8.839,0.018
