,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.484,0.776,1.298,0.508,1.251,0.51,1.312,0.496,1.061,0.497,0.97,0.501,1.1,0.5,1.266,0.484
1,1,0.387,0.828,1.577,0.502,1.611,0.506,1.599,0.513,1.495,0.509,1.499,0.495,1.421,0.482,1.627,0.511
2,2,0.223,0.92,1.683,0.487,1.646,0.496,1.587,0.513,1.643,0.479,2.002,0.5,1.633,0.489,1.683,0.503
3,3,0.233,0.917,1.605,0.502,1.554,0.516,1.595,0.509,1.566,0.508,1.635,0.484,1.698,0.496,1.604,0.502
4,4,0.277,0.895,1.669,0.492,1.579,0.509,1.579,0.504,1.624,0.504,1.513,0.515,1.588,0.517,1.578,0.5
5,5,0.363,0.853,1.616,0.497,1.557,0.513,1.542,0.514,1.621,0.492,1.528,0.504,1.591,0.504,1.547,0.498
6,6,0.301,0.888,1.559,0.485,1.47,0.523,1.47,0.512,1.575,0.484,1.599,0.5,1.922,0.493,1.488,0.501
7,7,0.367,0.856,1.502,0.497,1.451,0.515,1.454,0.508,1.629,0.486,1.423,0.5,1.731,0.495,1.464,0.489
8,8,0.5,0.796,1.52,0.492,1.414,0.519,1.453,0.506,1.448,0.492,1.442,0.508,1.508,0.489,1.363,0.506
9,9,0.747,0.682,1.461,0.498,1.405,0.512,1.42,0.508,1.528,0.492,1.442,0.488,1.397,0.504,1.421,0.495
10,10,1.102,0.575,1.488,0.485,1.435,0.502,1.457,0.504,1.513,0.493,1.441,0.5,1.418,0.477,1.457,0.484
11,11,2.024,0.504,2.08,0.493,2.047,0.502,2.023,0.506,2.047,0.502,2.047,0.502,2.047,0.502,2.047,0.502
