,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.514125,0.575,0.405625,0.38475,0.4265
1,1,0.533,0.64525,0.544375,0.50325,0.5855
2,2,0.5565,0.682375,0.608375,0.58425,0.6325
3,3,0.6145,0.745625,0.7085,0.74325,0.67375
4,4,0.73625,0.86675,0.657875,0.733,0.58275
5,5,0.83,0.947125,0.568125,0.592,0.54425
6,6,0.88025,0.972,0.85225,0.863,0.8415
7,7,0.930625,0.993375,0.8365,0.82725,0.84575
8,8,0.944375,0.99275,0.101625,0.09325,0.11
9,9,0.954875,0.988375,0.100375,0.10075,0.1
10,10,0.95875,0.992875,0.08775,0.087,0.0885
11,11,0.954875,0.99075,0.088,0.088,0.088
