,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.941,0.635,1.4,0.495,1.303,0.52,1.334,0.512,0.946,0.512,1.055,0.496,0.997,0.497,1.238,0.513
1,1,0.498,0.85,1.704,0.5,1.632,0.527,1.63,0.521,1.486,0.531,1.566,0.512,1.335,0.522,1.547,0.532
2,2,0.505,0.855,1.724,0.501,1.705,0.504,1.749,0.501,1.581,0.535,1.674,0.52,1.665,0.516,1.62,0.523
3,3,0.451,0.865,1.68,0.509,1.639,0.522,1.693,0.504,1.562,0.52,1.597,0.514,1.594,0.503,1.654,0.512
4,4,0.497,0.806,1.489,0.515,1.501,0.499,1.497,0.511,1.48,0.503,1.559,0.506,1.371,0.486,1.441,0.498
5,5,0.491,0.785,1.421,0.509,1.467,0.482,1.417,0.504,1.499,0.484,1.639,0.492,1.051,0.48,1.405,0.477
6,6,0.581,0.706,1.296,0.498,1.311,0.488,1.354,0.475,1.259,0.485,0.999,0.47,1.577,0.475,1.152,0.486
7,7,0.583,0.682,1.22,0.497,1.22,0.482,1.246,0.482,1.47,0.457,1.391,0.475,0.811,0.481,1.234,0.47
8,8,0.633,0.671,1.184,0.482,1.167,0.477,1.185,0.487,1.261,0.469,1.297,0.49,0.756,0.491,1.063,0.483
9,9,0.82,0.567,1.051,0.488,1.071,0.48,1.073,0.482,0.997,0.474,0.791,0.485,0.98,0.476,0.909,0.485
10,10,1.218,0.509,1.238,0.498,1.253,0.482,1.307,0.48,1.126,0.483,0.861,0.486,1.634,0.471,1.12,0.474
11,11,1.863,0.472,1.867,0.475,1.891,0.466,1.922,0.466,1.891,0.466,1.891,0.466,1.891,0.466,1.891,0.466
