,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.51275,0.54775,0.5035,0.503,0.504
1,1,0.544125,0.58,0.504625,0.50525,0.504
2,2,0.527,0.621,0.506375,0.508,0.50475
3,3,0.503,0.653,0.50425,0.502,0.5065
4,4,0.5385,0.680125,0.505625,0.50375,0.5075
5,5,0.628125,0.709125,0.507125,0.5075,0.50675
6,6,0.676125,0.7965,0.50675,0.505,0.5085
7,7,0.728625,0.80125,0.507,0.50475,0.50925
8,8,0.743625,0.825625,0.5105,0.51125,0.50975
9,9,0.63725,0.836,0.505625,0.5055,0.50575
10,10,0.7225,0.843625,0.505875,0.506,0.50575
11,11,0.69575,0.807125,0.506,0.506,0.506
