,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.552125,0.55875,0.5165,0.516,0.517
1,1,0.545375,0.54975,0.516875,0.5165,0.51725
2,2,0.477625,0.59075,0.51725,0.51725,0.51725
3,3,0.54875,0.56225,0.517125,0.51725,0.517
4,4,0.484625,0.54875,0.517125,0.51725,0.517
5,5,0.549,0.564125,0.51725,0.51725,0.51725
6,6,0.549875,0.54725,0.51725,0.51725,0.51725
7,7,0.549,0.5445,0.51725,0.51725,0.51725
8,8,0.548875,0.51825,0.517125,0.51725,0.517
9,9,0.545125,0.55475,0.51725,0.51725,0.51725
10,10,0.459625,0.5635,0.51725,0.51725,0.51725
11,11,0.451,0.536875,0.51725,0.51725,0.51725
